Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-12-11,Safety Not Guaranteed,2012,https://boxd.it/TBvkv,4.5,,"Enjoyable ability guaranteed, Aubrey plaza not playing april",,2019-12-10
2019-12-12,Knives Out,2019,https://boxd.it/THtvt,5,,"So fast paced and enjoyable, just non stop entertainment #knivesin",,2019-12-12
2020-01-14,Ready or Not,2019,https://boxd.it/WAAtd,2.5,,The only thing not ready was the script.,,2020-01-13
2020-01-14,Blockers,2018,https://boxd.it/WABVR,4.5,,They may not bang but this film does.,,2020-01-13
2020-01-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/Xsc3j,2,,So dull,,2020-01-23
2020-02-12,The Lighthouse,2019,https://boxd.it/Z7Erz,4.5,,Mad but good,,2020-02-11
2020-02-26,Parasite,2019,https://boxd.it/10nesd,5,,Capitalism bad,,2020-02-25
2020-02-26,Booksmart,2019,https://boxd.it/10nfiD,5,,Perfect,,2020-02-25
2020-04-03,The Peanut Butter Falcon,2019,https://boxd.it/13PYQj,4.5,,Shia la Beouf proving he's more than just a cannibal,,2020-04-02
2020-04-03,Uncut Gems,2019,https://boxd.it/13TJ7L,4.5,,"So fucking intense, you don't think it can get anymore stressful and it keeps topping it",,2020-04-03
2020-04-03,Rebooted,2019,https://boxd.it/13TOjn,5,,"Never rooted for a skeleton except for my own, until now...",,2020-04-03
2020-04-08,Silver Linings Playbook,2012,https://boxd.it/14sUP5,5,,Proving that OCD and A gambling addiction are a match made in heaven,,2020-04-07
2020-04-11,Superbad,2007,https://boxd.it/14M6cR,3,,"Unlike Jonah hill's career this film hasn't aged that well

A poor man's booksmart",,2020-04-10
2020-04-27,The Edge of Seventeen,2016,https://boxd.it/16Ry6Z,2.5,,"Imagine booksmart with none of the heart, character development, wit, heart or stories you care about and you have this film",,2020-04-26
2020-05-13,Carrie,1976,https://boxd.it/18Q2XD,5,,Talk about a panic at the disco,,2020-05-12
2020-08-22,Train to Busan,2016,https://boxd.it/1jwzbL,4.5,,Not an ideal birthday,,2020-08-22
2020-09-23,Do the Right Thing,1989,https://boxd.it/1mQWqr,5,,Perfect,,2020-09-22
2020-12-12,"Two Cars, One Night",2003,https://boxd.it/1vrC3t,5,,Kills it as always,,2020-12-11
2021-09-10,Bruce Almighty,2003,https://boxd.it/282bP7,1,,Jim Carrey gave us an early indication of what a cunt he is,,2021-09-10
2022-02-01,Encanto,2021,https://boxd.it/2xr91f,0.5,,"Truly wank, Lin Manuel Miranda really needs to be stopped",,2022-01-31
2022-02-12,Con Air,1997,https://boxd.it/2zoWYn,5,,Either the best or worst film ever made,,2022-02-11
